,CityId,Latitude,Longitude,PopLog,CityName
95,5346,46.6524049,20.2566408,4.454479,Szentes
96,5542,47.0126655,16.6010475,4.067294,Kormend
97,5543,46.6206925,19.2836756,4.154089,Kiskoros
98,5742,47.2579643,17.1521883,4.03286,Celldomolk
99,5743,47.514704,18.8271319,3.859258,Paty
100,5942,47.4223375,19.394503,4.221936,Gyomro
101,6142,47.03742570000001,19.7863141,4.387976999999999,Nagykoros
102,6143,47.5489158,19.2242144,3.96506,Csomor
103,6144,46.0474395,17.799351100000006,4.032296,Szigetvar
104,6145,47.2162053,20.7546669,4.055646,Kisujszallas
105,6146,47.198695,18.138157,4.307603,Varpalota
106,6342,47.9539113,22.3208477,4.229349,Mateszalka
107,6343,47.44450250000001,19.3184563,3.569842,Ecser
108,6542,47.3141209,18.7886273,3.764251,Martonvasar
109,6543,46.4515164,20.227760600000003,4.226497,Csongrad
110,6742,47.2517426,16.9342165,4.169204,Sarvar
111,6743,46.1911673,18.2613778,4.398287,Komlo
112,6744,45.96053660000001,17.463434200000002,4.056066,Barcs
113,6745,46.62939779999999,18.2850331,3.92371,Tamasi
114,6746,47.2457295,19.6127835,4.093772,Albertirsa
115,6747,48.39609779999999,21.6561497,4.18625,Satoraljaujhely
116,6942,47.5502015,17.7541679,3.595165,Pannonhalma
117,7142,47.314646,20.9240941,4.300595,Karcag
118,7143,47.6130877,20.7502258,4.02914,Tiszafured
119,7144,47.1793568,20.409153,4.323108,Torokszentmiklos
120,7145,46.79060379999999,17.1834489,3.640978,Heviz
121,7343,47.6716617,21.5078944,4.495627,Hajduboszormeny
122,7542,47.3845453,19.2173066,4.370809,Gyal
123,7742,47.2860696,19.5467411,4.059185,Pilis
124,7743,47.3668787,18.8660065,3.966236,Tarnok
125,7942,46.7785548,17.6553063,3.773201,Balatonboglar
126,7943,47.45426060000001,19.5214828,3.918659,Sulysap
127,7944,46.8022565,19.0046438,3.798305000000001,Solt
128,8142,45.9933836,18.6821079,4.269606,Mohacs
129,8143,47.0004724,20.6299513,4.238974,Mezotur
130,8144,46.5833484,17.412300199999994,4.063221,Marcali
