,CityId,InvitorCityId,NumOutInvs,norm,InvitationProb
0,379,380,11,15,0.7333333333333333
1,383,380,1,15,0.06666666666666667
2,1742,380,1,15,0.06666666666666667
3,2083,380,1,15,0.06666666666666667
4,49757,380,1,15,0.06666666666666667
5,379,381,10,12,0.8333333333333334
6,380,381,1,12,0.08333333333333333
7,385,381,1,12,0.08333333333333333
8,379,382,8,10,0.8
9,384,382,1,10,0.1
10,391,382,1,10,0.1
11,379,383,15,33,0.45454545454545453
12,380,383,2,33,0.06060606060606061
13,382,383,1,33,0.030303030303030304
14,391,383,1,33,0.030303030303030304
15,1842,383,1,33,0.030303030303030304
16,1862,383,1,33,0.030303030303030304
17,2062,383,1,33,0.030303030303030304
18,3142,383,2,33,0.06060606060606061
19,4143,383,1,33,0.030303030303030304
20,8142,383,1,33,0.030303030303030304
21,11142,383,1,33,0.030303030303030304
22,13542,383,1,33,0.030303030303030304
23,16756,383,1,33,0.030303030303030304
24,26952,383,1,33,0.030303030303030304
25,32957,383,1,33,0.030303030303030304
26,55160,383,1,33,0.030303030303030304
27,69774,383,1,33,0.030303030303030304
28,379,384,11,14,0.7857142857142857
29,2042,384,1,14,0.07142857142857142
30,8142,384,1,14,0.07142857142857142
31,109367,384,1,14,0.07142857142857142
32,379,385,6,11,0.5454545454545454
33,380,385,1,11,0.09090909090909091
34,396,385,1,11,0.09090909090909091
35,397,385,1,11,0.09090909090909091
36,398,385,1,11,0.09090909090909091
37,1782,385,1,11,0.09090909090909091
38,379,386,9,15,0.6
39,382,386,1,15,0.06666666666666667
40,391,386,1,15,0.06666666666666667
41,1862,386,1,15,0.06666666666666667
42,2063,386,1,15,0.06666666666666667
43,2084,386,1,15,0.06666666666666667
44,22744,386,1,15,0.06666666666666667
45,379,387,5,9,0.5555555555555556
46,386,387,1,9,0.1111111111111111
47,394,387,1,9,0.1111111111111111
48,1722,387,1,9,0.1111111111111111
49,4543,387,1,9,0.1111111111111111
50,379,388,3,6,0.5
51,384,388,1,6,0.16666666666666666
52,387,388,1,6,0.16666666666666666
53,68759,388,1,6,0.16666666666666666
54,379,389,1,4,0.25
55,1962,389,1,4,0.25
56,9742,389,1,4,0.25
57,117363,389,1,4,0.25
58,379,391,3,3,1.0
59,379,392,1,1,1.0
60,379,394,1,2,0.5
61,72561,394,1,2,0.5
62,379,395,26,32,0.8125
63,387,395,1,32,0.03125
64,1762,395,1,32,0.03125
65,5142,395,1,32,0.03125
66,9542,395,1,32,0.03125
67,15342,395,1,32,0.03125
68,16356,395,1,32,0.03125
69,379,396,2,8,0.25
70,385,396,1,8,0.125
71,386,396,1,8,0.125
72,399,396,1,8,0.125
73,1862,396,1,8,0.125
74,9542,396,1,8,0.125
75,119564,396,1,8,0.125
76,379,397,4,6,0.6666666666666666
77,9952,397,1,6,0.16666666666666666
78,22949,397,1,6,0.16666666666666666
79,379,399,1,2,0.5
80,1902,399,1,2,0.5
81,379,1682,16,19,0.8421052631578947
82,384,1682,1,19,0.05263157894736842
83,2022,1682,1,19,0.05263157894736842
84,12742,1682,1,19,0.05263157894736842
85,379,1722,17,19,0.8947368421052632
86,1762,1722,1,19,0.05263157894736842
87,1782,1722,1,19,0.05263157894736842
88,379,1742,5,6,0.8333333333333334
89,8544,1742,1,6,0.16666666666666666
90,379,1762,15,17,0.8823529411764706
91,384,1762,1,17,0.058823529411764705
92,395,1762,1,17,0.058823529411764705
93,379,1782,4,7,0.5714285714285714
94,381,1782,1,7,0.14285714285714285
95,2942,1782,1,7,0.14285714285714285
96,16557,1782,1,7,0.14285714285714285
97,379,1802,4,6,0.6666666666666666
98,394,1802,1,6,0.16666666666666666
99,10142,1802,1,6,0.16666666666666666
100,379,1862,1,1,1.0
101,379,1882,15,18,0.8333333333333334
102,9954,1882,1,18,0.05555555555555555
103,70966,1882,1,18,0.05555555555555555
104,76188,1882,1,18,0.05555555555555555
105,379,1902,2,4,0.5
106,387,1902,1,4,0.25
107,2105,1902,1,4,0.25
108,379,1922,1,1,1.0
109,379,1942,5,5,1.0
110,379,1962,2,2,1.0
111,379,2002,3,3,1.0
112,379,2003,3,3,1.0
113,379,2022,5,6,0.8333333333333334
114,386,2022,1,6,0.16666666666666666
115,379,2042,3,7,0.42857142857142855
116,385,2042,2,7,0.2857142857142857
117,389,2042,1,7,0.14285714285714285
118,3943,2042,1,7,0.14285714285714285
119,379,2063,3,4,0.75
120,382,2063,1,4,0.25
121,379,2084,1,3,0.3333333333333333
122,12742,2084,1,3,0.3333333333333333
123,17161,2084,1,3,0.3333333333333333
124,379,2105,7,9,0.7777777777777778
125,1862,2105,1,9,0.1111111111111111
126,8142,2105,1,9,0.1111111111111111
127,379,2146,3,5,0.6
128,11344,2146,1,5,0.2
129,14943,2146,1,5,0.2
130,379,2342,4,5,0.8
131,2063,2342,1,5,0.2
132,379,2744,3,4,0.75
133,2122,2744,1,4,0.25
134,379,2942,2,3,0.6666666666666666
135,386,2942,1,3,0.3333333333333333
136,379,2943,1,3,0.3333333333333333
137,1782,2943,2,3,0.6666666666666666
138,379,3342,1,1,1.0
139,379,3542,3,3,1.0
140,379,3742,3,3,1.0
141,379,3942,1,1,1.0
142,379,3943,3,5,0.6
143,2105,3943,1,5,0.2
144,3742,3943,1,5,0.2
145,379,3944,1,1,1.0
146,379,4144,3,3,1.0
147,379,4543,2,3,0.6666666666666666
148,11544,4543,1,3,0.3333333333333333
149,379,4544,2,2,1.0
150,379,4744,1,4,0.25
151,380,4744,2,4,0.5
152,3742,4744,1,4,0.25
153,379,4942,1,2,0.5
154,6342,4942,1,2,0.5
155,379,5142,1,2,0.5
156,3742,5142,1,2,0.5
157,379,5143,3,6,0.5
158,382,5143,1,6,0.16666666666666666
159,385,5143,1,6,0.16666666666666666
160,15546,5143,1,6,0.16666666666666666
161,379,5543,1,1,1.0
162,379,5743,1,2,0.5
163,2003,5743,1,2,0.5
164,379,5942,1,1,1.0
165,379,6744,2,2,1.0
166,379,6745,1,1,1.0
167,379,7143,1,1,1.0
168,379,7542,3,3,1.0
169,379,7943,2,2,1.0
170,379,8342,1,1,1.0
171,379,8343,2,3,0.6666666666666666
172,5142,8343,1,3,0.3333333333333333
