,CityId,InvitorCityId,NumOutInvs
0,379,379,59072
1,380,379,482
2,381,379,552
3,382,379,329
4,383,379,318
5,384,379,299
6,385,379,374
7,386,379,301
8,387,379,319
9,388,379,199
10,389,379,277
11,390,379,185
12,391,379,168
13,392,379,167
14,393,379,156
15,394,379,176
16,395,379,534
17,396,379,224
18,397,379,144
19,398,379,168
20,399,379,135
21,1682,379,204
22,1702,379,125
23,1722,379,107
24,1742,379,142
25,1762,379,225
26,1782,379,178
27,1802,379,134
28,1822,379,80
29,1842,379,77
30,1862,379,134
31,1882,379,309
32,1902,379,338
33,1922,379,105
34,1942,379,101
35,1962,379,109
36,1982,379,78
37,2002,379,77
38,2003,379,94
39,2022,379,152
40,2023,379,73
41,2042,379,106
42,2062,379,151
43,2063,379,69
44,2082,379,76
45,2083,379,57
46,2084,379,54
47,2102,379,41
48,2103,379,135
49,2104,379,46
50,2105,379,209
51,2122,379,66
52,2142,379,90
53,2143,379,65
54,2144,379,64
55,2145,379,99
56,2146,379,79
57,2147,379,61
58,2342,379,38
59,2343,379,63
60,2742,379,67
61,2743,379,79
62,2744,379,55
63,2942,379,163
64,2943,379,138
65,2944,379,45
66,3142,379,77
67,3143,379,41
68,3342,379,27
69,3542,379,29
70,3543,379,68
71,3742,379,152
72,3942,379,72
73,3943,379,78
74,3944,379,138
75,3945,379,26
76,4142,379,36
77,4143,379,87
78,4144,379,197
79,4342,379,57
80,4542,379,65
81,4543,379,66
82,4544,379,96
83,4742,379,27
84,4743,379,53
85,4744,379,57
86,4942,379,154
87,5142,379,77
88,5143,379,63
89,5144,379,24
90,5145,379,30
91,5342,379,38
92,5343,379,19
93,5344,379,25
94,5345,379,31
95,5346,379,73
96,5542,379,38
97,5543,379,34
98,5742,379,33
99,5743,379,59
100,5942,379,170
101,6142,379,61
102,6143,379,107
103,6144,379,33
104,6145,379,43
105,6146,379,40
106,6342,379,69
107,6343,379,39
108,6542,379,27
109,6543,379,29
110,6742,379,29
111,6743,379,41
112,6744,379,33
113,6745,379,28
114,6746,379,81
115,6747,379,56
116,6942,379,6
117,7142,379,68
118,7143,379,62
119,7144,379,64
120,7145,379,16
121,7343,379,61
122,7542,379,323
123,7742,379,81
124,7743,379,81
125,7942,379,18
126,7943,379,84
127,7944,379,20
128,8142,379,30
129,8143,379,46
130,8144,379,27
131,8145,379,20
132,8342,379,20
133,8343,379,49
134,8344,379,110
135,8345,379,14
136,8542,379,49
137,8543,379,29
138,8544,379,100
139,8742,379,48
140,8743,379,87
141,8744,379,59
142,8745,379,25
143,8942,379,32
144,8943,379,193
145,8945,379,25
146,8946,379,11
147,8947,379,31
148,8948,379,19
149,9142,379,54
150,9143,379,59
151,9144,379,38
152,9145,379,99
153,9146,379,56
154,9342,379,14
155,9343,379,25
156,9542,379,66
157,9544,379,35
158,9545,379,5
159,9546,379,22
160,9742,379,25
161,9942,379,30
162,9943,379,89
163,9944,379,10
164,9945,379,14
165,9946,379,37
166,9947,379,35
167,9948,379,15
168,9949,379,34
169,9950,379,17
170,9951,379,17
171,9952,379,13
172,9953,379,54
173,9954,379,21
174,9955,379,33
175,10142,379,57
176,10342,379,27
177,10343,379,62
178,10344,379,11
179,10345,379,16
180,10346,379,12
181,10542,379,133
182,10742,379,6
183,10743,379,41
184,10744,379,16
185,10745,379,45
186,10746,379,12
187,10942,379,14
188,10943,379,21
