,CityId,InvitorCityId,NumOutInvs
0,379,379,7420
1,380,379,48
2,381,379,63
3,382,379,43
4,383,379,22
5,384,379,15
6,385,379,36
7,386,379,26
8,387,379,14
9,388,379,11
10,389,379,18
11,390,379,22
12,391,379,19
13,392,379,12
14,393,379,12
15,394,379,13
16,395,379,55
17,396,379,16
18,397,379,6
19,398,379,11
20,399,379,6
21,1682,379,20
22,1702,379,7
23,1722,379,8
24,1742,379,24
25,1762,379,23
26,1782,379,15
27,1802,379,11
28,1822,379,4
29,1842,379,12
30,1862,379,10
31,1882,379,24
32,1902,379,26
33,1922,379,5
34,1942,379,10
35,1962,379,14
36,1982,379,2
37,2002,379,7
38,2003,379,7
39,2022,379,15
40,2023,379,5
41,2042,379,8
42,2062,379,17
43,2063,379,4
44,2082,379,9
45,2083,379,4
46,2084,379,5
47,2102,379,4
48,2103,379,8
49,2104,379,7
50,2105,379,12
51,2122,379,5
52,2142,379,6
53,2143,379,3
54,2144,379,5
55,2145,379,5
56,2146,379,9
57,2147,379,8
58,2342,379,4
59,2343,379,5
60,2742,379,4
61,2743,379,5
62,2744,379,2
63,2942,379,19
64,2943,379,10
65,2944,379,2
66,3142,379,6
67,3143,379,4
68,3342,379,1
69,3543,379,8
70,3742,379,12
71,3942,379,9
72,3943,379,6
73,3944,379,13
74,3945,379,5
75,4142,379,3
76,4143,379,7
77,4144,379,18
78,4342,379,3
79,4542,379,6
80,4543,379,4
81,4544,379,12
82,4742,379,2
83,4743,379,2
84,4744,379,4
85,4942,379,10
86,5142,379,3
87,5143,379,10
88,5144,379,2
89,5145,379,2
90,5342,379,4
91,5343,379,2
92,5344,379,3
93,5345,379,1
94,5346,379,3
95,5542,379,1
96,5543,379,3
97,5742,379,2
98,5743,379,6
99,5942,379,16
100,6142,379,2
101,6143,379,7
102,6144,379,2
103,6145,379,2
104,6146,379,5
105,6342,379,5
106,6343,379,4
107,6542,379,3
108,6742,379,2
109,6743,379,5
110,6744,379,3
111,6746,379,15
112,6747,379,7
113,7142,379,4
114,7143,379,5
115,7144,379,5
116,7145,379,1
117,7343,379,6
118,7542,379,25
119,7742,379,10
120,7743,379,3
121,7942,379,5
122,7943,379,8
123,7944,379,1
124,8142,379,2
125,8143,379,3
126,8144,379,4
127,8342,379,3
128,8343,379,8
129,8344,379,13
130,8345,379,2
131,8542,379,2
132,8543,379,2
133,8544,379,5
134,8742,379,3
135,8743,379,6
136,8744,379,2
137,8745,379,1
138,8942,379,5
139,8943,379,19
140,8945,379,1
141,8947,379,4
142,9142,379,5
143,9143,379,5
144,9144,379,2
145,9145,379,7
146,9146,379,7
147,9342,379,1
148,9343,379,2
149,9542,379,4
150,9544,379,1
151,9546,379,1
152,9742,379,3
