,CityId,InvitorCityId,NumOutInvs
0,379,379,41528
1,380,379,549
2,381,379,464
3,382,379,618
4,383,379,573
5,384,379,530
6,385,379,230
7,386,379,306
8,387,379,507
9,388,379,278
10,389,379,204
11,390,379,185
12,391,379,161
13,392,379,113
14,393,379,201
15,394,379,308
16,395,379,385
17,396,379,247
18,397,379,184
19,398,379,130
20,399,379,94
21,1682,379,275
22,1702,379,137
23,1722,379,130
24,1742,379,173
25,1762,379,340
26,1782,379,233
27,1802,379,125
28,1822,379,129
29,1842,379,125
30,1862,379,96
31,1882,379,404
32,1902,379,221
33,1922,379,58
34,1942,379,103
35,1962,379,85
36,1982,379,114
37,2002,379,64
38,2003,379,105
39,2022,379,124
40,2023,379,49
41,2042,379,107
42,2062,379,88
43,2063,379,72
44,2082,379,95
45,2083,379,73
46,2084,379,66
47,2102,379,35
48,2103,379,87
49,2104,379,48
50,2105,379,126
51,2122,379,32
52,2142,379,47
53,2143,379,46
54,2144,379,65
55,2145,379,47
56,2146,379,80
57,2147,379,43
58,2342,379,78
59,2343,379,45
60,2742,379,33
61,2743,379,41
62,2744,379,96
63,2942,379,119
64,2943,379,92
65,2944,379,51
66,3142,379,56
67,3143,379,23
68,3342,379,23
69,3542,379,19
70,3543,379,24
71,3742,379,121
72,3942,379,32
73,3943,379,130
74,3944,379,19
75,3945,379,21
76,4142,379,11
77,4143,379,31
78,4144,379,90
79,4342,379,24
80,4542,379,39
81,4543,379,37
82,4544,379,70
83,4742,379,24
84,4743,379,28
85,4744,379,22
86,4942,379,39
87,5142,379,72
88,5143,379,29
89,5144,379,28
90,5145,379,29
91,5342,379,33
92,5343,379,21
93,5344,379,11
94,5345,379,29
95,5346,379,33
96,5542,379,17
97,5543,379,25
98,5742,379,21
99,5743,379,60
100,5942,379,71
101,6142,379,31
102,6143,379,67
103,6144,379,10
104,6145,379,17
105,6146,379,28
106,6342,379,14
107,6343,379,21
108,6542,379,39
109,6543,379,28
110,6742,379,16
111,6743,379,16
112,6744,379,19
113,6745,379,18
114,6746,379,27
115,6747,379,20
116,6942,379,5
117,7142,379,23
118,7143,379,16
119,7144,379,25
120,7145,379,11
121,7343,379,20
122,7542,379,72
123,7742,379,32
124,7743,379,53
125,7942,379,16
126,7943,379,36
127,7944,379,8
128,8142,379,33
129,8143,379,15
130,8144,379,13
131,8145,379,7
132,8342,379,13
133,8343,379,27
134,8344,379,41
135,8345,379,12
136,8542,379,24
137,8543,379,10
138,8544,379,26
139,8742,379,24
140,8743,379,27
141,8744,379,30
142,8745,379,16
143,8942,379,15
144,8943,379,65
145,8945,379,15
146,8946,379,17
147,8947,379,24
148,8948,379,14
149,9142,379,17
150,9143,379,23
151,9144,379,26
152,9145,379,60
153,9146,379,40
154,9342,379,4
155,9343,379,13
156,9542,379,38
157,9544,379,8
158,9545,379,7
159,9546,379,6
160,9742,379,14
161,9942,379,28
162,9943,379,34
163,9944,379,7
164,9945,379,8
165,9946,379,6
166,9947,379,4
167,9948,379,12
168,9949,379,12
169,9950,379,18
170,9951,379,14
171,9952,379,13
172,9953,379,34
173,9954,379,37
174,9955,379,23
175,10142,379,57
176,10342,379,17
177,10343,379,20
178,10344,379,12
179,10345,379,9
180,10346,379,18
181,10542,379,60
182,10742,379,10
183,10743,379,14
184,10744,379,13
185,10745,379,12
186,10746,379,3
187,10942,379,10
188,10943,379,19
189,10944,379,27
190,10945,379,2
191,10946,379,13
192,10947,379,10
193,10948,379,29
194,10949,379,14
