CityId,CityName,Latitude,Longitude,PopLog
6142,Nagykoros,47.03742570000001,19.7863141,4.387976999999999
6143,Csomor,47.5489158,19.2242144,3.96506
6144,Szigetvar,46.0474395,17.799351100000006,4.032296
6145,Kisujszallas,47.2162053,20.7546669,4.055646
6146,Varpalota,47.198695,18.138157,4.307603
6342,Mateszalka,47.9539113,22.3208477,4.229349
6343,Ecser,47.44450250000001,19.3184563,3.569842
6542,Martonvasar,47.3141209,18.7886273,3.7642510000000002
6543,Csongrad,46.4515164,20.227760600000003,4.226497
6742,Sarvar,47.2517426,16.9342165,4.169204
6743,Komlo,46.1911673,18.2613778,4.398287
6744,Barcs,45.96053660000001,17.463434200000002,4.056066
6745,Tamasi,46.62939779999999,18.2850331,3.92371
6746,Albertirsa,47.2457295,19.6127835,4.093772
6747,Satoraljaujhely,48.39609779999999,21.6561497,4.18625
6942,Pannonhalma,47.5502015,17.7541679,3.595165
7142,Karcag,47.314646,20.9240941,4.3005949999999995
7143,Tiszafured,47.6130877,20.7502258,4.02914
7144,Torokszentmiklos,47.1793568,20.409153,4.323108
7145,Heviz,46.79060379999999,17.1834489,3.640978
7343,Hajduboszormeny,47.6716617,21.5078944,4.495627
7542,Gyal,47.3845453,19.2173066,4.3708089999999995
7742,Pilis,47.2860696,19.5467411,4.059185
7743,Tarnok,47.3668787,18.8660065,3.966236
7942,Balatonboglar,46.7785548,17.6553063,3.7732010000000002
7943,Sulysap,47.45426060000001,19.5214828,3.9186589999999994
7944,Solt,46.8022565,19.0046438,3.7983050000000005
8142,Mohacs,45.9933836,18.6821079,4.269606
8143,Mezotur,47.0004724,20.6299513,4.238974
8144,Marcali,46.5833484,17.412300199999994,4.0632209999999995
8145,Tab,46.7351826,18.0389133,3.627571
8342,Balatonlelle,46.7867617,17.696520899999996,3.6753199999999997
8343,Velence,47.2353177,18.6605263,3.729084
8344,Ullo,47.3850605,19.3453263,4.058236
8345,Lenti,46.6245749,16.5366668,3.9015129999999996
8542,Zsambek,47.5483115,18.7174344,3.73878
8543,Nagyatad,46.229143,17.357096399999996,4.030762
8544,Ocsa,47.3011895,19.2313617,3.960756
8742,Abony,47.1887402,20.0047823,4.172486
8743,Tokol,47.3226787,18.9632427,4.017701000000001
8744,Taksony,47.32997810000001,19.0623899,3.8057730000000003
8745,Mezobereny,46.82499620000001,21.0297382,4.037267
8942,Puspokladany,47.3195803,21.1123019,4.167258
8943,Szigethalom,47.3245067,19.0001884,4.241447
8945,Tiszavasvari,47.956619,21.3680532,4.098678
8946,Kapuvar,47.59370429999999,17.0274824,4.015066
8947,Bekes,46.7862993,20.9820736,4.295853
8948,Fonyod,46.7467521,17.54946,3.6746769999999995
9142,Ercsi,47.2519697,18.8983773,3.903036
9143,Nagykata,47.4138187,19.7503736,4.099093
9144,Aszod,47.6532732,19.4747432,3.807129
9145,Halasztelek,47.363105,18.9811444,3.96895
9146,Mogyorod,47.5986636,19.2384215,3.801747
9342,Siklos,45.852096,18.2981568,3.9836709999999997
9343,Sarbogard,46.88743710000001,18.6196247,4.095098999999999
9542,Gardony,47.2029902,18.6261959,3.996818
9544,Tura,47.60935,19.594944199999997,3.888236
9545,Fertod,47.6216447,16.8645968,3.5392010000000003
9546,Soltvadkert,46.5820205,19.3942728,3.871164
9742,Turkeve,47.10924470000001,20.7358057,3.941561
9942,Etyek,47.4448813,18.7504665,3.64365
9943,Isaszeg,47.53033350000001,19.401700100000006,4.05679
9944,Tokaj,48.1235534,21.4113895,3.6847559999999997
9945,Zirc,47.2613795,17.8718188,3.851014
9946,Pusztaszabolcs,47.1385777,18.7576092,3.7779339999999997
9947,Szerencs,48.1633851,21.201088100000003,3.9590410000000005
9948,Pilisszentkereszt,47.6931455,18.9024298,3.3481099999999997
9949,Tiszakecske,46.9315289,20.1045358,4.050651
9950,Dunabogdany,47.7937922,19.0352037,3.512551
9951,Szentgotthard,46.952850700000006,16.2748541,3.946403
9952,Csorna,47.6134153,17.249795499999998,4.027309
9953,Orbottyan,47.6827581,19.263848,3.871515
9954,Telki,47.551193,18.8206574,3.590953
9955,Heves,47.7884409,20.1714412,4.019698
10142,Urom,47.5987004,19.0134262,3.864393
10342,Nagymaros,47.78911420000001,18.9587262,3.678518
10343,Kiskunlachaza,47.1903391,19.00569,3.9536629999999997
10344,Tat,47.7398038,18.654370800000002,3.727785
10345,Bataszek,46.1933095,18.7241126,3.805365
10346,Pilisszanto,47.6697354,18.886467,3.398461
10542,Maglod,47.444962200000006,19.359313600000004,4.0787830000000005
10742,Zalaszentgrot,46.9438023,17.0790205,3.8111050000000004
10743,Nyirbator,47.839511,22.1322309,4.079832
10744,Balatonfoldvar,46.8491197,17.879240300000006,3.31471
10745,Gyomaendrod,46.9358032,20.8260916,4.135896
10746,Zahony,48.4063743,22.1778835,3.5996650000000003
10942,Retsag,47.93032410000001,19.1375901,3.4616480000000003
10943,Tahitotfalu,47.75419160000001,19.084289,3.752509
10944,Leanyfalu,47.718888,19.0888422,3.5689050000000004
10945,Kondoros,46.7599676,20.7950557,3.7160870000000004
10946,Szecseny,48.0814012,19.5214674,3.7545010000000003
10947,Encs,48.3305743,21.1222112,3.7924620000000004
10948,Pilisborosjeno,47.606931,18.9918085,3.5280160000000005
10949,Kunszentmiklos,47.0257098,19.1234855,3.930185
11142,Szodliget,47.7299732,19.1473194,3.661907
11143,Dunavarsany,47.27896320000001,19.0661045,3.8739019999999997
11144,Bacsalmas,46.1274127,19.3319128,3.82588
11145,Nagytarcsa,47.52673529999999,19.2834412,3.5872620000000004
11146,Budajeno,47.555673,18.803804100000004,3.273464
11147,Sumeg,46.9784329,17.2811657,3.791691
11342,Jaszarokszallas,47.64454170000001,19.9786517,3.892429
11343,Gyonk,46.5553541,18.4783275,3.3151300000000004
11344,Tihany,46.9122292,17.8917574,3.13258
11345,Kunszentmarton,46.8399054,20.2908813,3.922881
11346,Harta,46.6947199,19.0277119,3.515211
11347,Balatonszemes,46.806042,17.7789908,3.248709
11348,Kerepes,47.5616135,19.286907100000004,4.003762
11542,Fuzesabony,47.7485389,20.4142673,3.891035
11543,Berettyoujfalu,47.2247273,21.5355206,4.1809
11544,Kisber,47.4992603,18.0300173,3.7227980000000005
11545,Csopak,46.9734439,17.928852,3.216957
11742,Szeghalom,47.0213485,21.1693932,3.9597569999999997
11743,Cegledbercel,47.2150336,19.678569,3.644143
11744,Totkomlos,46.4115096,20.7366044,3.7619279999999997
11942,Racalmas,47.0259018,18.9393279,3.652053
12342,Domsod,47.094771,19.0070461,3.7551120000000004
12343,Csobanka,47.6436909,18.9672147,3.500374
12542,Janoshalma,46.2972264,19.3235909,3.951192
12543,Gomba,47.3703744,19.5311516,3.4730489999999996
12544,Tapioszecso,47.4506036,19.6066197,3.802979
12545,Csurgo,46.2642514,17.095087399999993,3.714833
12546,Boly,45.9692795,18.5161494,3.601625
12547,Tordas,47.34461500000001,18.7527252,3.32695
12548,Vasarosnameny,48.1267635,22.312647,3.938019
12549,Kecel,46.5237655,19.2533387,3.9388699999999996
12550,Labatlan,47.74508529999999,18.5015732,3.698275
12742,Erdokertes,47.67024470000001,19.308359,3.890533
12743,Visegrad,47.784891200000004,18.970577600000002,3.270213
12744,Jaszapati,47.5133704,20.1410061,3.9516769999999997
12942,Szentlorinc,46.0415605,17.988914,3.8355639999999998
12943,Galgaheviz,47.62225770000001,19.5558378,3.397071
13142,Lajosmizse,47.026289,19.5582094,4.044265
13342,Pecsvarad,46.1608411,18.4206938,3.6044419999999997
13542,Kozarmisleny,46.0487525,18.2860822,3.78597
13543,Martfu,47.0186153,20.2813933,3.8085480000000005
13544,Hajdunanas,47.8452241,21.4279002,4.22981
13742,Villany,45.8697644,18.4555208,3.3934
13743,Soskut,47.4047185,18.8305621,3.511215
