CityId,CityName,PopLog,eov_x,eov_y
379,Budapest,6.240559999999999,649474.4583884269,239382.88586875534
380,Debrecen,5.317215,844116.7500649805,246253.4334351684
381,Miskolc,5.222256,779793.9226847866,308070.94016217825
382,Szeged,5.230582,734907.1791773215,101719.09492085256
383,Pecs,5.195349,586608.5638559178,81633.51164963366
384,Gyor,5.119137,543945.1923395968,261380.74068936164
385,Nyiregyhaza,5.070621,849340.8059821835,293640.18052640255
386,Kecskemet,5.057765,699164.0284618008,173962.21021507558
387,Szekesfehervar,5.007415,601756.1754314773,205409.84972533537
388,Szombathely,4.899536,466116.15310765663,212307.66832145027
389,Szolnok,4.8712279999999994,736958.8940034744,204120.03748920877
390,Tatabanya,4.845117,601151.0557193856,249080.59360301873
391,Kaposvar,4.830499,553120.4728736363,113223.73993109119
392,Bekescsaba,4.804494,805982.0109758475,150992.96323483565
393,Zalaegerszeg,4.791333,482074.5313840026,168735.25716230282
394,Veszprem,4.806343,563953.1828022519,194919.95749334947
395,Erd,4.81476,640486.939984679,225929.00385681432
396,Eger,4.749474,749212.9864897509,284764.4609608821
397,Sopron,4.7880980000000015,466142.7745198407,262491.9557177373
398,Dunaujvaros,4.681332,641800.4772091953,180318.31711938445
399,Nagykanizsa,4.692864,492134.0557696158,125453.29939224766
1682,Szentendre,4.419129,652148.1761462337,258214.49390226707
1702,Esztergom,4.483359,626987.4752423036,271372.2809132963
1722,Budakeszi,4.1615779999999996,641106.7298687843,240675.19293736975
1742,Vac,4.541704,656024.6411875939,270505.8805411627
1762,Budaors,4.4713650000000005,642968.1063616861,235122.1365688219
1782,Godollo,4.53367,673013.77114365,251313.10176191392
1802,Pomaz,4.233022,648210.8981378474,255886.36106983738
1822,Baja,4.572058,642559.8711430945,92663.2398300452
1842,Szekszard,4.522588,623380.8967930559,111614.44460096811
1862,Gyongyos,4.510344,716073.0490242883,271063.37098261423
1882,Dunakeszi,4.605671,656159.6579921459,254204.67531452785
1902,Szigetszentmiklos,4.542539,649505.4568636656,222416.02527096195
1922,Balassagyarmat,4.207715,668269.7464709518,303732.8061038795
1942,Budakalasz,4.021603,649955.8437360773,252823.87120397616
1962,Siofok,4.386945,574329.4210197775,174140.67082650747
1982,Tata,4.396304,595209.7680730948,256505.38777187408
2002,Jaszbereny,4.43014,715114.593961341,240261.20112768465
2003,Solymar,4.012078,641558.1043124177,249563.05219218333
2022,God,4.268695,656510.4158345619,259960.20740928987
2023,Gyula,4.500772,820493.6643654305,146817.06732724697
2042,Torokbalint,4.133123,639860.6540458908,232340.6134386865
2062,Cegled,4.577239,706877.2095520515,203331.561061738
2063,Keszthely,4.320043,512434.71327955264,159720.66455613106
2082,Szazhalombatta,4.27637,639767.1900797511,219249.30349225152
2083,Paks,4.2902569999999995,635561.3539467714,142081.89312520094
2084,Mosonmagyarovar,4.514812999999998,517209.5760134976,282563.4464029488
2102,Dombovar,4.289901,579668.2678044703,115236.72565439678
2103,Salgotarjan,4.5619,706101.2917352687,306107.31163220655
2104,Tiszaujvaros,4.218982,799391.5017080789,289062.062752898
2105,Dunaharaszti,4.30664,653617.3615280526,223996.91733446368
2122,Sarospatak,4.1000260000000015,836739.9166130638,333934.01935365854
2142,Papa,4.505855,530812.7225668111,221434.58872172603
2143,Kiskunfelegyhaza,4.4767160000000015,711384.8363593383,152203.2161659152
2144,Hodmezovasarhely,4.667658,747798.275836179,119980.86091138469
2145,Kazincbarcika,4.457337,766954.3363122066,324626.6333346964
2146,Pilisvorosvar,4.138871,639785.9175364649,253032.24068308843
2147,Kiskunhalas,4.453730999999999,683512.0806024021,120464.48102125291
2342,Piliscsaba,3.923296,633367.547386602,254366.68163041776
2742,Kalocsa,4.2294,645015.7425554716,130959.22086952806
2743,Ajka,4.463266,537011.0900877943,196801.1538509607
2744,Nagykovacsi,3.8385339999999997,637558.1467693449,248051.80836377604
2942,Fot,4.278021,661319.5713573478,252090.69124961918
2943,Pecel,4.188562999999999,672397.3314511756,238617.8861900267
2944,Balatonfured,4.131362,561821.6911778733,179822.32095157303
3142,Hatvan,4.306618,697083.3667845546,258473.16768288333
3143,Mako,4.372415,760161.0783921835,97726.21583388146
3342,Koszeg,4.081167,460778.45498680463,230314.29299389708
3542,Mor,4.153967,586713.1645387389,225668.02754157598
3543,Kisvarda,4.216773,875170.0508621229,324624.00454669923
3742,Veresegyhaz,4.227681,667986.3983756835,256848.85143693027
3942,Oroshaza,4.461048,774351.658951797,136393.05640885577
3943,Biatorbagy,4.107379,633103.4023490873,236690.47241011483
3944,Ozd,4.528274,742747.6669090466,320319.1319930307
3945,Dunafoldvar,3.937819,640447.2232746258,162913.15146276128
4142,Paszto,3.980867,698760.2672987595,286583.9632420566
4143,Dabas,4.225645,670882.2278409565,203238.69297280587
4144,Vecses,4.320354,666405.2793760629,229517.28408471425
4342,Tapolca,4.193013,527410.8630461227,172134.74237333602
4542,Mezokovesd,4.218483,763738.8598448281,275105.03371052345
4543,Bicske,4.066028,618981.5814382693,238611.65567136777
4544,Kistarcsa,4.078276,666274.1908823693,244558.26047834824
4742,Bonyhad,4.138018,610298.7369447446,106121.02788434915
4743,Oroszlany,4.270143,594795.4536599027,238677.20631257968
4744,Hajduszoboszlo,4.3675239999999995,826673.9314394998,235886.0851172777
4942,Monor,4.2647,680173.7389994967,223268.51633040217
5142,Diosd,3.978728,642257.3844867193,229146.0683747778
5143,Rackeve,4.000955,642127.7174616717,201878.60930171065
5144,Pilisszentivan,3.6394870000000004,638684.1586361135,251752.86200342738
5145,Szarvas,4.230628,764721.456278917,169756.6912946821
5342,Dorog,4.079036,626288.385918415,264330.65448757133
5343,Nyergesujfalu,3.8780620000000003,613046.4515097399,268673.86556234065
5344,Tolna,4.055646,608350.5655873233,127246.86187171309
5345,Balatonalmadi,3.9622269999999995,571922.1237113687,188468.27001537755
5346,Szentes,4.454479,742553.7551115633,146053.7857297833
5542,Kormend,4.067294,464022.11189766024,188299.08519149083
5543,Kiskoros,4.154089,668091.8031121666,141840.84920878103
5742,Celldomolk,4.0328599999999994,506572.3157886459,214395.91711276045
5743,Paty,3.859258,633406.1601801702,241221.1094116785
5942,Gyomro,4.221936,676185.4543985816,230986.5432248408
6142,Nagykoros,4.387976999999999,706151.0724702633,188403.43235353328
6143,Csomor,3.96506,663305.4995917178,245015.95474213274
6144,Szigetvar,4.032296,553392.0191836966,78862.30663737444
6145,Kisujszallas,4.055646,779300.6866317188,209423.54232445406
6146,Varpalota,4.307603,581105.5265765318,206467.92449669013
