CityId,InvitorCityId,p,NumOutInvs
380,379,0.004879256090230881,276
381,379,0.006028356256408443,341
382,379,0.003641763603578121,206
383,379,0.003005338896156702,170
384,379,0.0025280203655906374,143
385,379,0.0037831913163384363,214
386,379,0.0025280203655906374,143
387,379,0.002298200332355125,130
388,379,0.001255170950747799,71
389,379,0.0025810557578757557,146
390,379,0.001926952586359297,109
391,379,0.0020683802991196126,117
392,379,0.0013965986635081143,79
393,379,0.0015557048403634691,88
394,379,0.0012905278789378779,73
395,379,0.005232825372131669,296
396,379,0.0018208818017890606,103
397,379,0.0012021355584626808,68
398,379,0.0016087402326485875,91
399,379,0.0010607078457023655,60
1682,379,0.001926952586359297,109
1702,379,0.0009546370611321288,54
1722,379,0.001255170950747799,71
1742,379,0.0019092741222642576,108
1762,379,0.0024573065092104796,139
1782,379,0.001997666442739455,113
1802,379,0.001043029381607326,59
1822,379,0.0009369585970370895,53
1842,379,0.0008839232047519711,50
1862,379,0.0009899939893222077,56
1882,379,0.0024926634374005585,141
1902,379,0.0027224834706360713,154
1922,379,0.0007778524201817346,44
1942,379,0.0008132093483718135,46
1962,379,0.001166778630272602,66
1982,379,0.0005303539228511827,30
2002,379,0.0007248170278966163,41
2003,379,0.0006717816356114981,38
2022,379,0.001255170950747799,71
2023,379,0.0006541031715164587,37
2042,379,0.0010960647738924442,62
2062,379,0.0015380263762684299,87
2063,379,0.00035356928190078844,20
2082,379,0.0009723155252271683,55
2083,379,0.0005126754587561433,29
2084,379,0.000459640066471025,26
2102,379,0.0005480323869462221,31
2103,379,0.0013435632712229962,76
2104,379,0.0005480323869462221,31
2105,379,0.001591061768553548,90
2122,379,0.0004066046741859067,23
2142,379,0.0008308878124668529,47
2143,379,0.0005480323869462221,31
2144,379,0.0007071385638015769,40
2145,379,0.0009723155252271683,55
2146,379,0.0008839232047519711,50
2147,379,0.0005303539228511827,30
2342,379,0.0004066046741859067,23
2742,379,0.0005126754587561433,29
2743,379,0.0005303539228511827,30
2744,379,0.00035356928190078844,20
2942,379,0.0017324894813138634,98
2943,379,0.0012198140225577203,69
2944,379,0.0003889262100908673,22
3142,379,0.0008839232047519711,50
3143,379,0.0003005338896156702,17
3342,379,0.00012374924866527596,7
3542,379,0.0002474984973305519,14
3543,379,0.0008839232047519711,50
3742,379,0.0012021355584626808,68
3942,379,0.0006364247074214192,36
3943,379,0.0006187462433263798,35
3944,379,0.0013258848071279567,75
3945,379,0.00021214156914047309,12
4142,379,0.0003005338896156702,17
4143,379,0.0009723155252271683,55
4144,379,0.0016440971608386664,93
4342,379,0.0004773185305660644,27
4542,379,0.0005303539228511827,30
4543,379,0.0005126754587561433,29
4544,379,0.0011844570943676414,67
4742,379,0.0002298200332355125,13
4743,379,0.0003712477459958279,21
4744,379,0.00044196160237598556,25
4942,379,0.0014849909839833115,84
5142,379,0.000583389315136301,33
5143,379,0.0005480323869462221,31
5144,379,0.0003182123537107096,18
5145,379,0.00035356928190078844,20
5342,379,0.00033589081780574905,19
5343,379,0.0002474984973305519,14
5344,379,0.00021214156914047309,12
5345,379,0.00021214156914047309,12
5346,379,0.0005657108510412615,32
5542,379,0.00017678464095039422,10
5543,379,0.00026517696142559137,15
5742,379,0.00035356928190078844,20
5743,379,0.0005126754587561433,29
5942,379,0.001502669448078351,85
6142,379,0.000583389315136301,33
6143,379,0.001043029381607326,59
